"district_code", "district_name"   , "p", "q", "aic"           , "bic"           , "aicc"          , "time_secs"      , "n_models_stepwise", "betas_str"    , "alphas_str"                                 , "covariates_used_names"                                    , "status"
              1, "Aveiro"          ,   1,   6, 6101.42675860354, 6166.41925068114, 6099.42675860354, 1083.97529006004 ,                   0, "0.24574"      , "0.24261,0.11349,1e-04,1e-04,0.16444,0.44992", "mean.Temp.Lag5, mean.DTemp.Lag0, PM25.Lag0, mean.NO2.Lag2", "Success"
              2, "Beja"            ,   1,   1, 3755.4094744845 , 3795.40485422456, 3753.4094744845 ,  891.110981941223,                   0, "0.06979"      , "0.93021"                                    , "mean.Temp.Lag4, mean.DTemp.Lag4, PM25.Lag0, mean.NO2.Lag2", "Success"
              3, "Braga"           ,   1,   3, 6884.00468504027, 6933.99890971535, 6882.00468504027, 4784.79682612419 ,                   0, "0.217"        , "0.08921,1e-04,0.72129"                      , "mean.Temp.Lag7, mean.DTemp.Lag4, PM25.Lag7, mean.NO2.Lag4", "Success"
              4, "Bragança"        ,   1,   2, 4677.41881186085, 4722.41361406842, 4675.41881186085, 2998.43440413475 ,                   0, "0.11947"      , "0.09811,0.78241"                            , "mean.Temp.Lag7, mean.DTemp.Lag3, PM25.Lag7, mean.NO2.Lag4", "Success"
              5, "Castelo Branco"  ,   1,   3, 4679.68892898587, 4729.68315366095, 4677.68892898587, 2836.41358995438 ,                   0, "0.14583"      , "0.28092,0.11767,0.45558"                    , "mean.Temp.Lag7, mean.DTemp.Lag7, PM25.Lag1, mean.NO2.Lag1", "Success"
              6, "Coimbra"         ,   1,   3, 5697.8576899358 , 5747.85191461088, 5695.8576899358 ,  830.906497955322,                   0, "0.20934"      , "1e-04,0.20494,0.7193"                       , "mean.Temp.Lag7, mean.DTemp.Lag7, PM25.Lag6, mean.NO2.Lag2", "Success"
              7, "Évora"           ,   1,   0, 4381.03003299762, 4416.02599027018, 4379.03003299762, 1930.87146401405 ,                   0, "0.03951"      , ""                                           , "mean.Temp.Lag4, mean.DTemp.Lag4, PM25.Lag2, mean.NO2.Lag1", "Success"
              8, "Faro"            ,   1,   1, 4947.80630330443, 4987.80168304449, 4945.80630330443,  740.772680997849,                   0, "0.08428"      , "0.91572"                                    , "mean.Temp.Lag7, mean.DTemp.Lag7, PM25.Lag0, mean.NO2.Lag2", "Success"
              9, "Guarda"          ,   1,   3, 4648.76865763955, 4698.76288231463, 4646.76865763955, 3746.91780996323 ,                   0, "0.14447"      , "1e-04,0.14088,0.70889"                      , "mean.Temp.Lag6, mean.DTemp.Lag5, PM25.Lag0, mean.NO2.Lag2", "Success"
             10, "Leiria"          ,   1,   2, 6269.30285199879, 6314.29765420636, 6267.30285199879,  417.111232995987,                   0, "0.13426"      , "0.27399,0.59126"                            , "mean.Temp.Lag7, mean.DTemp.Lag7, PM25.Lag6, mean.NO2.Lag2", "Success"
             11, "Lisboa"          ,   1,   6, 8310.68159897762, 8375.67409105523, 8308.68159897762,  738.291330814362,                   0, "0.26174"      , "0.13458,0.15812,1e-04,1e-04,0.03274,0.72411", "mean.Temp.Lag6, mean.DTemp.Lag6, PM25.Lag6, mean.NO2.Lag2", "Success"
             12, "Portalegre"      ,   2,   1, 3740.3134161106 , 3785.30821831818, 3738.3134161106 ,  466.9421479702  ,                   0, "0.12951,1e-04", "0.95513"                                    , "mean.Temp.Lag6, mean.DTemp.Lag7, PM25.Lag6, mean.NO2.Lag4", "Success"
             13, "Porto"           ,   1,   6, 7161.58220566092, 7226.57469773852, 7159.58220566092, 4283.07187199593 ,                   0, "0.2405"       , "0.38462,1e-04,0.02666,1e-04,0.04437,0.5663" , "mean.Temp.Lag6, mean.DTemp.Lag3, PM25.Lag6, mean.NO2.Lag2", "Success"
             14, "Santarém"        ,   1,   2, 6008.84932696489, 6053.84412917246, 6006.84932696489,  911.511371135712,                   0, "0.14486"      , "0.26215,0.59294"                            , "mean.Temp.Lag6, mean.DTemp.Lag6, PM25.Lag5, mean.NO2.Lag2", "Success"
             15, "Setúbal"         ,   1,   3, 6387.43763636655, 6437.43186104163, 6385.43763636655, 1121.1320540905  ,                   0, "0.23049"      , "0.08075,0.10183,0.58692"                    , "mean.Temp.Lag6, mean.DTemp.Lag6, PM25.Lag5, mean.NO2.Lag2", "Success"
             16, "Viana do Castelo",   1,   2, 4599.10146316794, 4644.09626537551, 4597.10146316794, 1547.13078212738 ,                   0, "0.09572"      , "0.86778,0.0365"                             , "mean.Temp.Lag5, mean.DTemp.Lag2, PM25.Lag5, mean.NO2.Lag3", "Success"
             17, "Vila Real"       ,   1,   1, 5388.88811966141, 5428.88349940147, 5386.88811966141, 1403.67133116722 ,                   0, "0.09655"      , "0.89291"                                    , "mean.Temp.Lag6, mean.DTemp.Lag2, PM25.Lag5, mean.NO2.Lag6", "Success"
             18, "Viseu"           ,   1,   3, 5593.37933992712, 5643.3735646022 , 5591.37933992712,  691.321114063263,                   0, "0.218"        , "0.31908,0.12884,0.33406"                    , "mean.Temp.Lag6, mean.DTemp.Lag2, PM25.Lag4, mean.NO2.Lag2", "Success"
